nome_atual,novo_nome
PLANO/BLACKOUT OMEGA 01 - PLANO.jpg,08571 - TECIDO BLACKOUT TECIDO OMEGA 01 OFFWHITE - PLANO.jpg
PLANO/BLACKOUT OMEGA 02 - PLANO.jpg,08572 - TECIDO BLACKOUT TECIDO OMEGA 02 CINZA - PLANO.jpg
PLANO/ZEUS (1).png,11701 - TECIDO SUPERBLACK BREU 01 PINUS - PLANO.png
PLANO/ZEUS (2).png,11703 - TECIDO SUPERBLACK FLAME SOFT 02 ALGODAO - PLANO.png
PLANO/ZEUS (3).png,11704 - TECIDO SUPERBLACK FLAME SOFT 03 TRIGO - PLANO.png
TEXTURA/BLACKOUT OMEGA 01 - TEXTURA.jpg,08571 - TECIDO BLACKOUT TECIDO OMEGA 01 OFFWHITE - TEXTURA.jpg
TEXTURA/BLACKOUT OMEGA 02 - TEXTURA.jpg,08572 - TECIDO BLACKOUT TECIDO OMEGA 02 CINZA - TEXTURA.jpg
